fecha,01:30,10:30,13:30,22:30
2020-01-01,11.38610327022378,28.0104750430293,33.94202753872637,12.13727022375218
2020-01-09,6.8854216867470175,23.942261617900208,29.756092943201413,8.292437177280586
2020-01-17,12.313882960413116,30.302660929432054,37.54691566265064,13.917511187607603
2020-01-25,8.23709122203101,25.080079173838243,31.540726333907088,10.20637177280554
2020-02-02,7.463590361445815,25.062784853700546,30.085814113597284,9.328588640275422
2020-02-10,9.846013769363202,23.203473321858898,26.86355593803791,10.05610671256457
2020-02-18,7.776912220309841,22.278612736660964,29.6333459552496,9.069552495697112
2020-02-26,11.391569707401064,26.732857142857178,35.341318416523265,12.931314974182476
2020-03-05,9.01687091222034,21.4572220309811,29.58356282271949,10.10102237521518
2020-03-13,6.054757314974214,19.221772805507783,27.08585542168678,7.1815111876076
2020-03-21,8.326337349397617,19.7425094664372,25.78071256454393,9.16069191049917
2020-03-29,4.311197934595556,16.56504991394151,23.426502581755624,5.904767641996584
2020-04-06,3.021043029259931,14.560354561101589,22.071617900172143,4.111851979345988
2020-04-14,3.902908777969057,11.240030981067155,16.826222648752434,4.965000000000026
2020-04-22,2.6613528399311805,10.138571428571453,16.228292598967332,3.515631669535316
2020-04-30,1.7294561101549375,9.857697074010366,15.305263339070605,2.152981067125668
2020-05-08,1.91344234079176,5.499184165232387,7.821605712295394,0.4727352380952664
2020-05-16,3.6831015490533847,8.256409638554246,8.857697074010359,3.7801411359724857
2020-05-24,2.485697074010361,7.400540447504327,12.805015490533584,3.4491669535284304
2020-06-01,0.0004991394148179669,3.7336282271945263,6.632657487091257,0.1448158347676647
2020-06-09,-1.0758313253011775,1.098344234079197,3.180722242184713,-1.517999999999969
2020-06-17,-3.2043095652173603,-0.5682375215145999,2.2111247803163754,-2.436864027538702
2020-06-25,-6.082461273666058,-2.0212508686587625,3.276088794926016,-6.4061927710843
2020-07-03,-6.397421686746956,-2.725731497418219,-1.0928571428571143,-5.46661962134249
2020-07-11,-4.576540447504274,-1.3614767641996324,0.1399618717504603,-3.755335628227172
2020-07-19,-6.305070567986205,-2.7841273666092725,-0.3923339070567736,-9.460065404475015
2020-07-27,-3.8044922547331943,0.8042512908778218,3.4507504302926293,-3.064492254733195
